city,timestamp,temperature_2m,apparent_temperature,precipitation,wind_gusts_10m,pm2_5,us_aqi,european_aqi
Bengaluru,2026-02-23T00:00,21.4,21.8,0.0,28.8,14.0,53,27
Bengaluru,2026-02-23T01:00,20.2,21.6,0.0,29.5,13.5,53,27
Bengaluru,2026-02-23T02:00,19.8,21.3,0.0,26.3,14.0,53,27
Bengaluru,2026-02-23T03:00,19.3,20.7,0.0,24.5,15.7,53,27
Bengaluru,2026-02-23T04:00,18.9,20.3,0.0,21.6,17.9,53,26
Bengaluru,2026-02-23T05:00,18.8,20.5,0.0,18.0,20.2,53,26
Bengaluru,2026-02-23T06:00,18.5,20.1,0.0,17.3,23.3,52,26
Bengaluru,2026-02-23T07:00,19.3,20.4,0.0,19.8,25.7,52,26
Bengaluru,2026-02-23T08:00,21.9,22.5,0.0,21.6,19.7,52,26
Bengaluru,2026-02-23T09:00,25.1,24.4,0.0,27.4,17.5,52,26
Bengaluru,2026-02-23T10:00,27.5,27.1,0.0,30.2,16.6,53,38
Bengaluru,2026-02-23T11:00,28.4,29.4,0.0,30.2,16.9,54,52
Bengaluru,2026-02-23T12:00,30.1,32.1,0.0,24.5,16.2,55,60
Bengaluru,2026-02-23T13:00,31.8,33.3,0.0,21.6,15.3,55,61
Bengaluru,2026-02-23T14:00,32.1,31.3,0.0,25.9,15.4,56,62
Bengaluru,2026-02-23T15:00,30.8,28.3,0.0,34.6,15.8,57,62
Bengaluru,2026-02-23T16:00,30.3,27.6,0.0,37.1,16.2,58,62
Bengaluru,2026-02-23T17:00,31.0,28.7,0.0,34.9,12.7,74,60
Bengaluru,2026-02-23T18:00,29.6,27.7,0.0,27.0,23.1,87,39
Bengaluru,2026-02-23T19:00,28.2,26.9,0.0,20.2,36.0,88,34
Bengaluru,2026-02-23T20:00,26.8,25.7,0.0,15.8,34.6,74,36
Bengaluru,2026-02-23T21:00,25.5,24.1,0.0,20.2,27.4,64,37
Bengaluru,2026-02-23T22:00,24.1,22.6,0.0,35.6,22.9,65,38
Bengaluru,2026-02-23T23:00,23.0,22.2,0.0,34.2,20.7,66,39
Bengaluru,2026-02-24T00:00,22.0,21.5,0.0,32.4,19.4,66,39
Bengaluru,2026-02-24T01:00,21.3,21.7,0.0,29.5,19.3,67,40
Bengaluru,2026-02-24T02:00,20.7,21.6,0.0,18.7,20.6,67,40
Bengaluru,2026-02-24T03:00,20.2,21.0,0.0,17.3,22.2,68,42
Bengaluru,2026-02-24T04:00,19.8,20.7,0.0,18.7,24.4,68,43
