city,timestamp,temperature_2m,apparent_temperature,precipitation,wind_gusts_10m,pm2_5,us_aqi,european_aqi
Chennai,2023-01-01T00:00,24.5,28.5,0.0,8.3,36.8,93,66
Chennai,2023-01-01T01:00,23.9,28.1,0.0,6.5,37.4,95,66
Chennai,2023-01-01T02:00,22.8,27.4,0.0,5.0,35.7,97,67
Chennai,2023-01-01T03:00,21.9,26.2,0.0,3.2,41.0,98,68
Chennai,2023-01-01T04:00,21.4,25.2,0.0,5.4,44.1,100,68
Chennai,2023-01-01T05:00,21.3,24.8,0.0,11.5,44.6,102,69
Chennai,2023-01-01T06:00,21.6,25.0,0.0,11.5,43.3,103,69
Chennai,2023-01-01T07:00,22.0,25.5,0.0,16.2,41.7,104,70
Chennai,2023-01-01T08:00,23.0,26.9,0.0,16.9,39.9,104,70
Chennai,2023-01-01T09:00,25.0,29.5,0.0,16.6,34.9,104,70
Chennai,2023-01-01T10:00,26.5,31.2,0.0,13.7,31.9,104,70
Chennai,2023-01-01T11:00,27.6,33.9,0.0,12.2,33.1,104,70
Chennai,2023-01-01T12:00,28.2,34.2,0.0,14.4,35.4,104,70
Chennai,2023-01-01T13:00,28.5,33.8,0.0,16.9,34.6,104,70
Chennai,2023-01-01T14:00,28.5,32.9,0.0,18.7,32.1,104,70
Chennai,2023-01-01T15:00,27.8,30.9,0.0,22.7,29.4,104,70
Chennai,2023-01-01T16:00,26.5,29.2,0.0,25.9,27.6,104,70
Chennai,2023-01-01T17:00,25.8,28.7,0.0,25.9,28.2,104,70
Chennai,2023-01-01T18:00,24.9,28.3,0.0,19.8,26.8,103,69
Chennai,2023-01-01T19:00,24.5,28.1,0.0,15.1,25.3,101,69
Chennai,2023-01-01T20:00,24.0,27.8,0.0,12.2,24.3,100,68
Chennai,2023-01-01T21:00,23.6,27.3,0.0,10.4,24.1,99,68
Chennai,2023-01-01T22:00,23.1,26.6,0.0,9.7,24.5,98,68
Chennai,2023-01-01T23:00,22.6,25.6,0.0,10.4,25.5,97,67
Chennai,2023-01-02T00:00,22.5,25.5,0.0,10.1,27.2,96,67
Chennai,2023-01-02T01:00,22.2,25.2,0.0,9.7,29.7,95,66
Chennai,2023-01-02T02:00,22.0,25.2,0.0,10.4,32.6,94,66
Chennai,2023-01-02T03:00,22.1,25.4,0.0,10.1,35.6,94,66
Chennai,2023-01-02T04:00,21.8,24.9,0.0,9.7,42.7,93,66
Chennai,2023-01-02T05:00,23.5,27.5,0.0,10.8,36.1,93,66
Chennai,2023-01-02T06:00,23.2,26.9,0.0,7.2,39.8,92,66
Chennai,2023-01-02T07:00,24.6,28.8,0.0,7.9,41.7,92,65
Chennai,2023-01-02T08:00,25.6,30.1,0.0,9.7,39.2,92,65
Chennai,2023-01-02T09:00,27.1,30.2,0.1,18.0,32.4,92,65
Chennai,2023-01-02T10:00,27.6,30.7,0.0,22.3,29.3,92,65
Chennai,2023-01-02T11:00,28.0,32.1,0.0,23.0,28.3,92,65
Chennai,2023-01-02T12:00,28.2,32.6,0.0,23.8,28.1,91,65
Chennai,2023-01-02T13:00,28.1,32.4,0.0,23.8,27.1,91,65
Chennai,2023-01-02T14:00,27.9,31.8,0.0,23.4,24.7,90,65
Chennai,2023-01-02T15:00,27.5,30.5,0.0,21.6,23.2,89,64
Chennai,2023-01-02T16:00,27.0,29.8,0.0,20.2,22.2,89,64
Chennai,2023-01-02T17:00,26.3,29.4,0.0,19.1,23.2,88,64
Chennai,2023-01-02T18:00,25.5,28.5,0.0,15.5,23.5,88,64
Chennai,2023-01-02T19:00,25.2,28.2,0.0,14.0,23.7,87,64
Chennai,2023-01-02T20:00,24.9,28.1,0.0,13.3,24.2,87,64
Chennai,2023-01-02T21:00,24.4,27.8,0.0,11.9,25.0,87,64
Chennai,2023-01-02T22:00,23.5,26.7,0.0,9.4,25.6,87,64
Chennai,2023-01-02T23:00,23.0,26.0,0.0,10.1,25.8,87,64
Chennai,2023-01-03T00:00,22.8,25.6,0.0,10.1,26.1,87,64
Chennai,2023-01-03T01:00,23.0,25.9,0.0,10.1,27.3,87,64
Chennai,2023-01-03T02:00,22.9,25.9,0.0,9.0,29.0,87,64
Chennai,2023-01-03T03:00,22.5,25.5,0.0,7.9,31.2,87,63
Chennai,2023-01-03T04:00,22.0,25.3,0.0,7.9,34.7,86,63
Chennai,2023-01-03T05:00,22.6,26.2,0.0,7.9,36.7,86,63
Chennai,2023-01-03T06:00,22.5,26.3,0.0,7.9,34.7,86,63
