time,pm2_5,us_aqi,european_aqi
2023-01-01T00:00,118.7,200,161
2023-01-01T01:00,121.1,197,156
2023-01-01T02:00,122.5,195,153
2023-01-01T03:00,125.3,193,150
2023-01-01T04:00,129.0,191,147
2023-01-01T05:00,123.4,189,144
2023-01-01T06:00,130.9,188,142
2023-01-01T07:00,133.6,187,140
2023-01-01T08:00,130.4,185,138
2023-01-01T09:00,126.7,184,137
2023-01-01T10:00,111.8,184,136
2023-01-01T11:00,90.6,183,135
2023-01-01T12:00,87.5,183,134
2023-01-01T13:00,87.5,182,133
2023-01-01T14:00,88.2,182,133
2023-01-01T15:00,92.2,181,132
2023-01-01T16:00,116.2,181,132
2023-01-01T17:00,151.8,181,131
2023-01-01T18:00,169.0,182,132
2023-01-01T19:00,178.3,183,134
2023-01-01T20:00,180.7,184,136
2023-01-01T21:00,177.9,186,139
2023-01-01T22:00,172.8,187,141
2023-01-01T23:00,167.2,188,143
2023-01-02T00:00,163.4,190,144
2023-01-02T01:00,160.7,190,146
2023-01-02T02:00,156.0,191,147
2023-01-02T03:00,151.8,192,148
2023-01-02T04:00,147.6,193,149
2023-01-02T05:00,144.4,193,150
2023-01-02T06:00,144.4,194,151
2023-01-02T07:00,144.8,194,151
2023-01-02T08:00,137.4,194,151
2023-01-02T09:00,125.7,194,152
2023-01-02T10:00,120.1,194,152
2023-01-02T11:00,129.5,194,152
2023-01-02T12:00,129.5,195,153
2023-01-02T13:00,124.8,196,155
2023-01-02T14:00,121.1,197,156
2023-01-02T15:00,121.5,198,157
2023-01-02T16:00,143.9,198,158
2023-01-02T17:00,170.9,199,159
2023-01-02T18:00,176.5,199,159
2023-01-02T19:00,175.6,200,160
2023-01-02T20:00,171.8,199,160
2023-01-02T21:00,165.8,199,159
2023-01-02T22:00,157.4,199,159
2023-01-02T23:00,147.6,199,158
2023-01-03T00:00,138.3,198,158
2023-01-03T01:00,128.5,198,157
2023-01-03T02:00,120.1,197,156
2023-01-03T03:00,113.4,196,155
2023-01-03T04:00,108.3,195,153
2023-01-03T05:00,107.8,195,152
2023-01-03T06:00,104.3,194,151
2023-01-03T07:00,103.4,193,149
2023-01-03T08:00,99.2,192,148
2023-01-03T09:00,93.6,191,147
2023-01-03T10:00,85.9,190,146
2023-01-03T11:00,85.7,190,145
2023-01-03T12:00,91.3,189,143
2023-01-03T13:00,94.3,188,142
2023-01-03T14:00,98.5,187,141
2023-01-03T15:00,97.6,187,140
2023-01-03T16:00,110.1,186,139
2023-01-03T17:00,127.6,185,138
2023-01-03T18:00,138.8,184,137
2023-01-03T19:00,143.0,184,135
2023-01-03T20:00,142.0,183,134
2023-01-03T21:00,137.8,182,133
2023-01-03T22:00,132.2,182,132
2023-01-03T23:00,127.6,181,132
2023-01-04T00:00,124.3,181,131
2023-01-04T01:00,122.5,180,131
2023-01-04T02:00,122.9,180,130
2023-01-04T03:00,124.3,180,130
2023-01-04T04:00,125.3,181,131
2023-01-04T05:00,121.1,181,131
2023-01-04T06:00,119.7,181,132
2023-01-04T07:00,120.6,182,132
2023-01-04T08:00,116.4,182,133
2023-01-04T09:00,110.8,182,133
2023-01-04T10:00,88.7,183,134
2023-01-04T11:00,79.9,183,134
2023-01-04T12:00,80.8,183,134
2023-01-04T13:00,83.8,182,134
2023-01-04T14:00,89.9,182,133
2023-01-04T15:00,92.9,182,133
2023-01-04T16:00,100.1,182,133
2023-01-04T17:00,130.9,182,132
2023-01-04T18:00,136.0,182,133
2023-01-04T19:00,136.4,182,132
2023-01-04T20:00,137.4,181,132
2023-01-04T21:00,137.4,181,132
2023-01-04T22:00,138.3,181,132
2023-01-04T23:00,136.9,181,132
2023-01-05T00:00,133.6,182,133
2023-01-05T01:00,131.3,182,133
2023-01-05T02:00,128.5,182,133
2023-01-05T03:00,123.9,182,133
2023-01-05T04:00,118.0,182,133
2023-01-05T05:00,109.4,182,133
2023-01-05T06:00,106.6,182,133
2023-01-05T07:00,106.9,182,132
2023-01-05T08:00,101.7,181,132
2023-01-05T09:00,99.4,181,131
2023-01-05T10:00,91.7,181,131
2023-01-05T11:00,84.1,181,131
2023-01-05T12:00,80.6,181,131
2023-01-05T13:00,78.0,181,131
2023-01-05T14:00,76.6,181,131
2023-01-05T15:00,76.8,180,131
2023-01-05T16:00,78.0,180,130
2023-01-05T17:00,94.8,180,129
2023-01-05T18:00,101.7,179,128
2023-01-05T19:00,104.5,178,127
2023-01-05T20:00,105.2,177,126
2023-01-05T21:00,104.8,177,125
2023-01-05T22:00,102.7,176,124
2023-01-05T23:00,99.9,175,123
2023-01-06T00:00,97.3,174,121
2023-01-06T01:00,95.0,173,120
2023-01-06T02:00,91.7,173,119
2023-01-06T03:00,88.9,172,118
2023-01-06T04:00,85.7,171,116
2023-01-06T05:00,80.6,170,115
2023-01-06T06:00,80.8,170,114
2023-01-06T07:00,81.0,169,114
2023-01-06T08:00,77.8,169,113
2023-01-06T09:00,75.9,168,112
2023-01-06T10:00,75.0,168,111
2023-01-06T11:00,67.5,167,111
2023-01-06T12:00,59.8,167,110
2023-01-06T13:00,55.4,166,109
2023-01-06T14:00,54.6,166,109
2023-01-06T15:00,52.7,165,108
2023-01-06T16:00,55.3,165,107
2023-01-06T17:00,74.0,164,106
2023-01-06T18:00,82.0,164,106
2023-01-06T19:00,86.6,164,105
2023-01-06T20:00,89.2,163,104
2023-01-06T21:00,90.3,163,104
2023-01-06T22:00,88.9,162,103
2023-01-06T23:00,84.8,162,103
2023-01-07T00:00,79.6,162,102
2023-01-07T01:00,75.9,161,102
2023-01-07T02:00,74.0,161,101
2023-01-07T03:00,72.6,161,101
2023-01-07T04:00,71.7,160,100
2023-01-07T05:00,74.0,160,100
2023-01-07T06:00,75.7,160,99
2023-01-07T07:00,77.5,160,99
2023-01-07T08:00,74.5,160,99
