city,timestamp,temperature_2m,apparent_temperature,precipitation,wind_gusts_10m,pm2_5,us_aqi,european_aqi
Kolkata,2023-01-01T00:00,17.5,18.9,0.0,6.1,118.7,200,161
Kolkata,2023-01-01T01:00,16.7,17.8,0.0,7.9,121.1,197,156
Kolkata,2023-01-01T02:00,16.8,18.0,0.0,8.3,122.5,195,153
Kolkata,2023-01-01T03:00,15.8,16.7,0.0,9.0,125.3,193,150
Kolkata,2023-01-01T04:00,16.6,17.6,0.0,13.0,129.0,191,147
Kolkata,2023-01-01T05:00,16.8,17.9,0.0,13.3,123.4,189,144
Kolkata,2023-01-01T06:00,16.8,18.1,0.0,12.6,130.9,188,142
Kolkata,2023-01-01T07:00,17.6,19.2,0.0,14.4,133.6,187,140
Kolkata,2023-01-01T08:00,19.2,21.0,0.0,15.1,130.4,185,138
Kolkata,2023-01-01T09:00,20.8,22.4,0.0,18.4,126.7,184,137
Kolkata,2023-01-01T10:00,21.1,23.1,0.0,18.0,111.8,184,136
Kolkata,2023-01-01T11:00,22.5,24.7,0.2,13.7,90.6,183,135
Kolkata,2023-01-01T12:00,23.6,25.5,0.0,18.4,87.5,183,134
Kolkata,2023-01-01T13:00,24.4,26.2,0.0,19.8,87.5,182,133
Kolkata,2023-01-01T14:00,24.7,26.4,0.0,15.1,88.2,182,133
Kolkata,2023-01-01T15:00,24.6,26.1,0.0,13.7,92.2,181,132
Kolkata,2023-01-01T16:00,23.2,25.4,0.0,12.6,116.2,181,132
Kolkata,2023-01-01T17:00,20.9,22.2,0.0,9.4,151.8,181,131
Kolkata,2023-01-01T18:00,20.5,21.8,0.0,9.7,169.0,182,132
Kolkata,2023-01-01T19:00,19.3,20.7,0.0,9.4,178.3,183,134
Kolkata,2023-01-01T20:00,19.1,20.1,0.0,12.2,180.7,184,136
Kolkata,2023-01-01T21:00,18.6,19.4,0.0,14.0,177.9,186,139
Kolkata,2023-01-01T22:00,18.0,18.7,0.0,14.8,172.8,187,141
Kolkata,2023-01-01T23:00,17.5,18.2,0.0,14.0,167.2,188,143
Kolkata,2023-01-02T00:00,17.2,17.8,0.0,13.3,163.4,190,144
Kolkata,2023-01-02T01:00,16.5,17.3,0.0,12.6,160.7,190,146
Kolkata,2023-01-02T02:00,16.1,16.9,0.0,10.1,156.0,191,147
Kolkata,2023-01-02T03:00,15.9,16.5,0.0,11.5,151.8,192,148
Kolkata,2023-01-02T04:00,15.8,16.1,0.0,13.0,147.6,193,149
Kolkata,2023-01-02T05:00,15.6,16.3,0.0,13.0,144.4,193,150
Kolkata,2023-01-02T06:00,15.4,16.1,0.0,9.0,144.4,194,151
Kolkata,2023-01-02T07:00,17.1,17.9,0.0,12.2,144.8,194,151
Kolkata,2023-01-02T08:00,19.1,20.2,0.0,13.0,137.4,194,151
Kolkata,2023-01-02T09:00,21.3,22.4,0.0,15.5,125.7,194,152
Kolkata,2023-01-02T10:00,23.1,24.0,0.0,18.0,120.1,194,152
Kolkata,2023-01-02T11:00,24.4,25.9,0.0,18.0,129.5,194,152
Kolkata,2023-01-02T12:00,25.4,26.8,0.0,16.2,129.5,195,153
Kolkata,2023-01-02T13:00,25.7,26.4,0.0,16.6,124.8,196,155
Kolkata,2023-01-02T14:00,25.6,26.0,0.0,16.6,121.1,197,156
Kolkata,2023-01-02T15:00,25.2,25.3,0.0,16.9,121.5,198,157
Kolkata,2023-01-02T16:00,23.8,24.7,0.0,16.6,143.9,198,158
Kolkata,2023-01-02T17:00,20.9,21.3,0.0,9.7,170.9,199,159
Kolkata,2023-01-02T18:00,20.4,20.8,0.0,10.1,176.5,199,159
Kolkata,2023-01-02T19:00,19.8,20.1,0.0,10.8,175.6,200,160
Kolkata,2023-01-02T20:00,19.0,19.2,0.0,12.2,171.8,199,160
Kolkata,2023-01-02T21:00,18.6,18.6,0.0,13.3,165.8,199,159
