time,pm2_5,us_aqi,european_aqi
2025-06-09T00:00,20.3,76,63
2025-06-09T01:00,20.2,76,63
2025-06-09T02:00,20.7,75,63
2025-06-09T03:00,21.2,75,63
2025-06-09T04:00,22.2,75,63
2025-06-09T05:00,24.4,74,63
2025-06-09T06:00,25.7,74,63
2025-06-09T07:00,26.0,74,63
2025-06-09T08:00,25.1,74,63
2025-06-09T09:00,24.1,73,63
2025-06-09T10:00,24.4,73,63
2025-06-09T11:00,24.8,73,63
2025-06-09T12:00,24.9,72,63
2025-06-09T13:00,24.8,72,63
2025-06-09T14:00,24.3,72,63
2025-06-09T15:00,24.0,72,63
2025-06-09T16:00,23.4,72,64
2025-06-09T17:00,25.0,72,64
2025-06-09T18:00,24.1,73,64
2025-06-09T19:00,23.1,73,64
2025-06-09T20:00,22.5,74,65
2025-06-09T21:00,22.1,74,65
2025-06-09T22:00,22.3,74,65
2025-06-09T23:00,22.8,74,65
2025-06-10T00:00,23.2,74,66
2025-06-10T01:00,23.7,75,66
2025-06-10T02:00,23.9,75,66
2025-06-10T03:00,24.0,75,66
2025-06-10T04:00,24.0,75,67
2025-06-10T05:00,21.7,76,67
2025-06-10T06:00,22.4,75,66
2025-06-10T07:00,21.1,75,66
2025-06-10T08:00,21.5,75,66
2025-06-10T09:00,21.4,74,66
2025-06-10T10:00,21.0,74,66
2025-06-10T11:00,20.3,74,65
2025-06-10T12:00,19.4,73,65
2025-06-10T13:00,18.3,73,65
2025-06-10T14:00,17.1,72,64
2025-06-10T15:00,16.9,72,64
2025-06-10T16:00,17.1,71,63
2025-06-10T17:00,19.4,70,63
2025-06-10T18:00,20.0,70,62
2025-06-10T19:00,16.9,70,62
2025-06-10T20:00,16.8,69,62
2025-06-10T21:00,17.7,69,61
2025-06-10T22:00,18.5,68,61
2025-06-10T23:00,18.9,68,60
2025-06-11T00:00,18.5,67,59
2025-06-11T01:00,18.1,67,57
2025-06-11T02:00,17.6,67,54
2025-06-11T03:00,16.6,66,52
2025-06-11T04:00,15.3,65,50
2025-06-11T05:00,14.8,65,47
2025-06-11T06:00,17.6,64,44
2025-06-11T07:00,17.3,64,42
2025-06-11T08:00,17.4,63,41
2025-06-11T09:00,17.6,63,39
2025-06-11T10:00,17.9,63,38
2025-06-11T11:00,18.6,62,37
2025-06-11T12:00,18.6,62,37
2025-06-11T13:00,18.0,62,36
2025-06-11T14:00,17.5,62,36
2025-06-11T15:00,16.6,62,35
2025-06-11T16:00,15.5,62,35
2025-06-11T17:00,18.5,62,35
2025-06-11T18:00,17.5,62,35
2025-06-11T19:00,16.4,62,35
2025-06-11T20:00,15.3,62,35
2025-06-11T21:00,14.8,61,35
2025-06-11T22:00,14.3,61,34
2025-06-11T23:00,14.3,61,34
2025-06-12T00:00,13.3,60,34
2025-06-12T01:00,13.6,60,33
2025-06-12T02:00,13.8,59,33
2025-06-12T03:00,14.1,59,33
2025-06-12T04:00,13.9,59,32
2025-06-12T05:00,15.7,59,32
2025-06-12T06:00,14.6,59,32
2025-06-12T07:00,14.7,59,32
2025-06-12T08:00,15.2,58,32
2025-06-12T09:00,15.1,58,32
2025-06-12T10:00,15.4,58,31
2025-06-12T11:00,15.4,58,31
2025-06-12T12:00,15.6,57,33
2025-06-12T13:00,15.6,57,35
2025-06-12T14:00,15.8,57,35
2025-06-12T15:00,15.1,57,33
2025-06-12T16:00,14.4,57,30
2025-06-12T17:00,16.8,57,30
2025-06-12T18:00,16.5,56,30
2025-06-12T19:00,16.1,56,30
2025-06-12T20:00,16.0,56,30
2025-06-12T21:00,16.2,56,30
2025-06-12T22:00,16.6,57,30
2025-06-12T23:00,19.0,57,30
2025-06-13T00:00,17.1,57,31
2025-06-13T01:00,16.2,57,31
2025-06-13T02:00,23.1,58,31
2025-06-13T03:00,17.8,59,32
2025-06-13T04:00,17.8,59,32
2025-06-13T05:00,16.1,59,33
2025-06-13T06:00,16.3,59,33
2025-06-13T07:00,17.8,59,33
2025-06-13T08:00,18.9,60,33
2025-06-13T09:00,19.0,60,33
2025-06-13T10:00,20.5,60,34
2025-06-13T11:00,22.2,61,35
2025-06-13T12:00,23.1,61,37
2025-06-13T13:00,23.6,62,38
2025-06-13T14:00,23.9,63,37
2025-06-13T15:00,24.3,63,37
2025-06-13T16:00,21.7,64,39
2025-06-13T17:00,24.1,65,41
2025-06-13T18:00,24.0,66,44
2025-06-13T19:00,27.3,66,46
2025-06-13T20:00,24.0,67,50
2025-06-13T21:00,22.7,68,53
2025-06-13T22:00,22.2,69,55
2025-06-13T23:00,22.4,69,58
2025-06-14T00:00,23.2,69,60
2025-06-14T01:00,26.1,70,60
2025-06-14T02:00,25.5,71,61
2025-06-14T03:00,24.9,71,61
2025-06-14T04:00,23.6,72,61
2025-06-14T05:00,21.4,72,61
2025-06-14T06:00,21.2,73,61
2025-06-14T07:00,22.1,73,62
2025-06-14T08:00,23.7,73,62
2025-06-14T09:00,25.6,74,62
2025-06-14T10:00,30.3,74,62
2025-06-14T11:00,35.3,75,62
2025-06-14T12:00,36.4,76,63
2025-06-14T13:00,33.9,78,63
2025-06-14T14:00,28.8,79,63
2025-06-14T15:00,25.7,79,63
2025-06-14T16:00,24.2,79,63
2025-06-14T17:00,31.1,79,63
2025-06-14T18:00,29.9,80,63
2025-06-14T19:00,30.5,80,64
2025-06-14T20:00,32.7,81,64
2025-06-14T21:00,34.9,82,64
2025-06-14T22:00,36.3,83,64
2025-06-14T23:00,37.1,84,64
2025-06-15T00:00,36.6,85,64
2025-06-15T01:00,34.9,86,64
2025-06-15T02:00,29.4,87,64
2025-06-15T03:00,26.8,87,64
2025-06-15T04:00,25.0,88,64
2025-06-15T05:00,34.0,88,64
2025-06-15T06:00,33.6,89,64
2025-06-15T07:00,34.5,90,65
2025-06-15T08:00,32.0,91,65
2025-06-15T09:00,30.6,92,65
2025-06-15T10:00,32.8,92,65
2025-06-15T11:00,36.0,92,66
2025-06-15T12:00,42.7,93,68
2025-06-15T13:00,53.3,93,78
2025-06-15T14:00,56.6,106,82
2025-06-15T15:00,47.0,97,77
2025-06-15T16:00,36.7,130,68
2025-06-15T17:00,36.9,152,68
2025-06-15T18:00,31.5,156,69
2025-06-15T19:00,29.6,156,69
2025-06-15T20:00,28.0,148,69
2025-06-15T21:00,27.3,125,69
2025-06-15T22:00,27.5,100,68
2025-06-15T23:00,26.2,99,68
2025-06-16T00:00,23.6,98,68
2025-06-16T01:00,22.6,97,67
2025-06-16T02:00,19.6,96,67
2025-06-16T03:00,16.3,95,66
2025-06-16T04:00,14.5,94,66
2025-06-16T05:00,3.7,93,66
2025-06-16T06:00,6.6,90,65
2025-06-16T07:00,10.7,88,64
2025-06-16T08:00,15.3,86,63
2025-06-16T09:00,16.7,84,63
2025-06-16T10:00,17.3,83,62
2025-06-16T11:00,18.3,82,62
2025-06-16T12:00,19.2,80,61
2025-06-16T13:00,19.2,78,60
2025-06-16T14:00,14.2,75,55
2025-06-16T15:00,12.5,71,48
2025-06-16T16:00,14.2,68,42
2025-06-16T17:00,16.0,66,39
2025-06-16T18:00,16.9,64,38
2025-06-16T19:00,18.1,63,36
2025-06-16T20:00,18.5,62,35
2025-06-16T21:00,18.0,61,35
2025-06-16T22:00,16.7,60,34
2025-06-16T23:00,15.5,59,33
2025-06-17T00:00,14.2,59,33
2025-06-17T01:00,13.2,58,33
2025-06-17T02:00,12.5,57,34
2025-06-17T03:00,12.2,56,34
2025-06-17T04:00,13.4,56,34
2025-06-17T05:00,14.5,56,35
2025-06-17T06:00,15.0,57,36
2025-06-17T07:00,15.8,57,37
2025-06-17T08:00,17.3,58,38
2025-06-17T09:00,18.0,58,38
2025-06-17T10:00,18.2,58,38
2025-06-17T11:00,18.7,58,38
2025-06-17T12:00,19.2,58,37
2025-06-17T13:00,19.4,58,37
2025-06-17T14:00,19.0,58,37
2025-06-17T15:00,17.9,59,37
2025-06-17T16:00,16.7,59,38
2025-06-17T17:00,21.6,59,38
2025-06-17T18:00,20.1,60,38
2025-06-17T19:00,18.3,60,38
2025-06-17T20:00,17.2,60,37
2025-06-17T21:00,16.2,60,37
2025-06-17T22:00,15.6,60,36
2025-06-17T23:00,15.0,60,36
2025-06-18T00:00,13.6,60,36
2025-06-18T01:00,11.9,60,36
2025-06-18T02:00,10.7,60,36
2025-06-18T03:00,9.6,60,35
2025-06-18T04:00,9.5,59,35
2025-06-18T05:00,13.7,59,34
2025-06-18T06:00,16.1,59,34
2025-06-18T07:00,17.1,59,34
2025-06-18T08:00,18.0,59,35
2025-06-18T09:00,19.5,59,34
2025-06-18T10:00,19.8,59,35
2025-06-18T11:00,17.8,59,34
2025-06-18T12:00,15.7,59,34
2025-06-18T13:00,13.3,59,34
2025-06-18T14:00,14.2,59,33
2025-06-18T15:00,15.4,58,33
2025-06-18T16:00,13.5,58,32
2025-06-18T17:00,7.8,58,32
2025-06-18T18:00,9.4,56,30
2025-06-18T19:00,10.7,55,29
2025-06-18T20:00,10.7,55,28
2025-06-18T21:00,10.9,54,28
2025-06-18T22:00,13.1,54,27
2025-06-18T23:00,15.0,53,27
2025-06-19T00:00,16.4,53,27
2025-06-19T01:00,17.1,54,27
2025-06-19T02:00,18.9,54,28
2025-06-19T03:00,20.1,55,29
2025-06-19T04:00,20.1,56,30
2025-06-19T05:00,19.1,57,31
2025-06-19T06:00,18.2,57,31
2025-06-19T07:00,17.2,57,32
2025-06-19T08:00,17.2,57,31
2025-06-19T09:00,16.9,57,31
2025-06-19T10:00,17.0,57,31
2025-06-19T11:00,17.8,57,30
2025-06-19T12:00,18.1,57,30
2025-06-19T13:00,18.5,57,31
2025-06-19T14:00,18.2,58,31
2025-06-19T15:00,18.3,58,31
2025-06-19T16:00,18.7,58,32
2025-06-19T17:00,17.8,59,32
2025-06-19T18:00,18.0,60,33
2025-06-19T19:00,18.0,60,34
2025-06-19T20:00,18.1,61,35
2025-06-19T21:00,17.1,62,36
2025-06-19T22:00,17.2,62,36
2025-06-19T23:00,17.1,62,37
2025-06-20T00:00,16.4,63,37
2025-06-20T01:00,15.4,63,37
2025-06-20T02:00,14.7,63,37
2025-06-20T03:00,14.2,62,37
2025-06-20T04:00,13.6,62,36
2025-06-20T05:00,13.0,61,35
2025-06-20T06:00,12.9,61,34
2025-06-20T07:00,13.9,60,34
2025-06-20T08:00,15.8,60,33
2025-06-20T09:00,16.8,60,33
2025-06-20T10:00,16.9,60,33
2025-06-20T11:00,17.6,60,33
2025-06-20T12:00,18.0,60,33
2025-06-20T13:00,18.7,60,33
2025-06-20T14:00,19.4,60,33
2025-06-20T15:00,18.5,60,34
2025-06-20T16:00,17.4,60,34
2025-06-20T17:00,22.4,60,34
2025-06-20T18:00,22.2,60,34
2025-06-20T19:00,21.1,60,35
2025-06-20T20:00,20.2,61,35
2025-06-20T21:00,19.5,61,36
2025-06-20T22:00,18.5,61,36
2025-06-20T23:00,17.9,61,36
2025-06-21T00:00,16.7,61,36
2025-06-21T01:00,15.9,61,36
2025-06-21T02:00,16.2,61,35
2025-06-21T03:00,16.2,61,35
2025-06-21T04:00,15.8,62,36
2025-06-21T05:00,14.2,62,36
2025-06-21T06:00,14.3,62,36
2025-06-21T07:00,15.2,62,36
2025-06-21T08:00,16.4,62,36
2025-06-21T09:00,16.3,62,36
2025-06-21T10:00,16.6,62,36
2025-06-21T11:00,18.0,62,36
2025-06-21T12:00,17.8,62,36
2025-06-21T13:00,18.0,62,36
2025-06-21T14:00,19.0,62,36
2025-06-21T15:00,18.5,62,36
2025-06-21T16:00,17.2,62,36
2025-06-21T17:00,18.5,62,36
2025-06-21T18:00,18.7,62,35
2025-06-21T19:00,19.2,61,35
2025-06-21T20:00,18.8,61,35
2025-06-21T21:00,18.3,61,34
2025-06-21T22:00,17.4,61,34
2025-06-21T23:00,17.0,61,34
2025-06-22T00:00,16.5,61,34
2025-06-22T01:00,16.1,61,34
2025-06-22T02:00,16.9,61,34
2025-06-22T03:00,17.5,61,34
2025-06-22T04:00,18.5,61,34
2025-06-22T05:00,19.2,61,35
2025-06-22T06:00,19.8,62,35
2025-06-22T07:00,20.7,62,36
2025-06-22T08:00,19.6,63,36
2025-06-22T09:00,18.3,63,37
2025-06-22T10:00,20.2,63,37
2025-06-22T11:00,21.3,63,37
2025-06-22T12:00,22.0,64,38
2025-06-22T13:00,21.6,64,38
2025-06-22T14:00,21.2,64,38
2025-06-22T15:00,19.2,65,39
2025-06-22T16:00,18.3,65,39
2025-06-22T17:00,18.7,65,39
2025-06-22T18:00,17.9,65,39
