city,timestamp,temperature_2m,apparent_temperature,precipitation,wind_gusts_10m,pm2_5,us_aqi,european_aqi
Mumbai,2025-06-09T00:00,27.7,33.5,0.1,14.4,20.3,76,63
Mumbai,2025-06-09T01:00,27.5,33.4,0.3,13.3,20.2,76,63
Mumbai,2025-06-09T02:00,27.4,33.0,0.5,10.8,20.7,75,63
Mumbai,2025-06-09T03:00,27.5,32.2,0.5,12.2,21.2,75,63
Mumbai,2025-06-09T04:00,27.4,32.0,0.4,11.2,22.2,75,63
Mumbai,2025-06-09T05:00,27.2,32.4,0.1,11.5,24.4,74,63
Mumbai,2025-06-09T06:00,28.0,33.6,0.0,14.0,25.7,74,63
Mumbai,2025-06-09T07:00,28.9,34.7,0.0,14.4,26.0,74,63
Mumbai,2025-06-09T08:00,29.8,34.6,0.0,24.1,25.1,74,63
Mumbai,2025-06-09T09:00,30.2,34.4,0.0,34.6,24.1,73,63
Mumbai,2025-06-09T10:00,30.5,34.8,0.0,37.1,24.4,73,63
Mumbai,2025-06-09T11:00,30.5,35.8,0.1,37.4,24.8,73,63
Mumbai,2025-06-09T12:00,30.8,36.1,0.0,41.8,24.9,72,63
Mumbai,2025-06-09T13:00,30.6,36.0,0.0,44.6,24.8,72,63
Mumbai,2025-06-09T14:00,30.5,35.5,0.0,46.4,24.3,72,63
Mumbai,2025-06-09T15:00,30.3,34.7,0.0,46.4,24.0,72,63
Mumbai,2025-06-09T16:00,29.9,33.6,0.0,44.3,23.4,72,64
Mumbai,2025-06-09T17:00,29.5,33.5,0.0,40.0,25.0,72,64
Mumbai,2025-06-09T18:00,29.5,34.4,0.0,32.8,24.1,73,64
Mumbai,2025-06-09T19:00,29.0,34.0,0.0,25.6,23.1,73,64
Mumbai,2025-06-09T20:00,28.6,33.9,0.0,24.8,22.5,74,65
Mumbai,2025-06-09T21:00,28.5,33.8,0.0,21.2,22.1,74,65
Mumbai,2025-06-09T22:00,28.1,33.7,0.0,19.4,22.3,74,65
Mumbai,2025-06-09T23:00,27.6,33.6,0.0,14.8,22.8,74,65
Mumbai,2025-06-10T00:00,27.4,33.3,0.0,11.2,23.2,74,66
Mumbai,2025-06-10T01:00,27.2,33.1,0.0,11.5,23.7,75,66
Mumbai,2025-06-10T02:00,27.2,32.6,0.0,14.0,23.9,75,66
Mumbai,2025-06-10T03:00,27.3,32.3,0.0,18.7,24.0,75,66
Mumbai,2025-06-10T04:00,27.2,32.4,0.0,18.7,24.0,75,67
Mumbai,2025-06-10T05:00,27.1,32.2,0.0,16.9,21.7,76,67
Mumbai,2025-06-10T06:00,27.6,33.2,0.0,14.4,22.4,75,66
Mumbai,2025-06-10T07:00,28.5,34.9,0.0,11.5,21.1,75,66
Mumbai,2025-06-10T08:00,29.1,35.1,0.1,14.8,21.5,75,66
Mumbai,2025-06-10T09:00,29.9,34.8,0.1,27.4,21.4,74,66
Mumbai,2025-06-10T10:00,30.3,34.8,0.1,36.0,21.0,74,66
Mumbai,2025-06-10T11:00,30.2,35.8,0.1,38.5,20.3,74,65
Mumbai,2025-06-10T12:00,30.5,36.5,0.0,40.0,19.4,73,65
Mumbai,2025-06-10T13:00,30.5,36.4,0.1,43.2,18.3,73,65
Mumbai,2025-06-10T14:00,30.5,35.8,0.1,44.6,17.1,72,64
Mumbai,2025-06-10T15:00,30.4,35.5,0.0,43.6,16.9,72,64
Mumbai,2025-06-10T16:00,30.1,34.4,0.1,39.2,17.1,71,63
Mumbai,2025-06-10T17:00,29.6,33.9,0.0,40.7,19.4,70,63
Mumbai,2025-06-10T18:00,28.9,34.0,0.1,30.6,20.0,70,62
Mumbai,2025-06-10T19:00,28.1,33.7,0.0,30.2,16.9,70,62
Mumbai,2025-06-10T20:00,28.5,34.4,0.0,23.0,16.8,69,62
Mumbai,2025-06-10T21:00,28.5,34.5,0.0,18.0,17.7,69,61
Mumbai,2025-06-10T22:00,28.4,33.7,0.0,18.0,18.5,68,61
Mumbai,2025-06-10T23:00,28.3,33.6,0.0,19.4,18.9,68,60
Mumbai,2025-06-11T00:00,27.9,33.7,0.0,17.6,18.5,67,59
Mumbai,2025-06-11T01:00,27.8,33.3,0.0,15.8,18.1,67,57
Mumbai,2025-06-11T02:00,28.0,32.9,0.0,24.5,17.6,67,54
Mumbai,2025-06-11T03:00,28.0,33.3,0.0,25.2,16.6,66,52
Mumbai,2025-06-11T04:00,28.0,33.3,0.0,19.8,15.3,65,50
Mumbai,2025-06-11T05:00,27.9,33.4,0.0,18.0,14.8,65,47
Mumbai,2025-06-11T06:00,28.1,34.4,0.0,13.0,17.6,64,44
Mumbai,2025-06-11T07:00,28.8,35.0,0.1,18.0,17.3,64,42
Mumbai,2025-06-11T08:00,29.4,34.8,0.5,26.6,17.4,63,41
Mumbai,2025-06-11T09:00,30.6,35.6,0.1,33.5,17.6,63,39
Mumbai,2025-06-11T10:00,31.2,36.6,0.0,35.6,17.9,63,38
Mumbai,2025-06-11T11:00,31.0,35.9,0.0,36.0,18.6,62,37
Mumbai,2025-06-11T12:00,31.6,37.5,0.0,38.9,18.6,62,37
Mumbai,2025-06-11T13:00,31.8,37.8,0.0,38.9,18.0,62,36
Mumbai,2025-06-11T14:00,31.5,37.2,0.0,39.6,17.5,62,36
Mumbai,2025-06-11T15:00,31.3,35.6,0.0,43.2,16.6,62,35
Mumbai,2025-06-11T16:00,30.9,34.9,0.0,43.9,15.5,62,35
Mumbai,2025-06-11T17:00,30.3,34.4,0.0,42.1,18.5,62,35
Mumbai,2025-06-11T18:00,30.4,35.8,0.1,37.8,17.5,62,35
