time,temperature_2m,apparent_temperature,precipitation,wind_gusts_10m
2025-06-09T00:00,27.7,33.5,0.1,14.4
2025-06-09T01:00,27.5,33.4,0.3,13.3
2025-06-09T02:00,27.4,33.0,0.5,10.8
2025-06-09T03:00,27.5,32.2,0.5,12.2
2025-06-09T04:00,27.4,32.0,0.4,11.2
2025-06-09T05:00,27.2,32.4,0.1,11.5
2025-06-09T06:00,28.0,33.6,0.0,14.0
2025-06-09T07:00,28.9,34.7,0.0,14.4
2025-06-09T08:00,29.8,34.6,0.0,24.1
2025-06-09T09:00,30.2,34.4,0.0,34.6
2025-06-09T10:00,30.5,34.8,0.0,37.1
2025-06-09T11:00,30.5,35.8,0.1,37.4
2025-06-09T12:00,30.8,36.1,0.0,41.8
2025-06-09T13:00,30.6,36.0,0.0,44.6
2025-06-09T14:00,30.5,35.5,0.0,46.4
2025-06-09T15:00,30.3,34.7,0.0,46.4
2025-06-09T16:00,29.9,33.6,0.0,44.3
2025-06-09T17:00,29.5,33.5,0.0,40.0
2025-06-09T18:00,29.5,34.4,0.0,32.8
2025-06-09T19:00,29.0,34.0,0.0,25.6
2025-06-09T20:00,28.6,33.9,0.0,24.8
2025-06-09T21:00,28.5,33.8,0.0,21.2
2025-06-09T22:00,28.1,33.7,0.0,19.4
2025-06-09T23:00,27.6,33.6,0.0,14.8
2025-06-10T00:00,27.4,33.3,0.0,11.2
2025-06-10T01:00,27.2,33.1,0.0,11.5
2025-06-10T02:00,27.2,32.6,0.0,14.0
2025-06-10T03:00,27.3,32.3,0.0,18.7
2025-06-10T04:00,27.2,32.4,0.0,18.7
2025-06-10T05:00,27.1,32.2,0.0,16.9
2025-06-10T06:00,27.6,33.2,0.0,14.4
2025-06-10T07:00,28.5,34.9,0.0,11.5
2025-06-10T08:00,29.1,35.1,0.1,14.8
2025-06-10T09:00,29.9,34.8,0.1,27.4
2025-06-10T10:00,30.3,34.8,0.1,36.0
2025-06-10T11:00,30.2,35.8,0.1,38.5
2025-06-10T12:00,30.5,36.5,0.0,40.0
2025-06-10T13:00,30.5,36.4,0.1,43.2
2025-06-10T14:00,30.5,35.8,0.1,44.6
2025-06-10T15:00,30.4,35.5,0.0,43.6
2025-06-10T16:00,30.1,34.4,0.1,39.2
2025-06-10T17:00,29.6,33.9,0.0,40.7
2025-06-10T18:00,28.9,34.0,0.1,30.6
2025-06-10T19:00,28.1,33.7,0.0,30.2
2025-06-10T20:00,28.5,34.4,0.0,23.0
2025-06-10T21:00,28.5,34.5,0.0,18.0
2025-06-10T22:00,28.4,33.7,0.0,18.0
2025-06-10T23:00,28.3,33.6,0.0,19.4
2025-06-11T00:00,27.9,33.7,0.0,17.6
2025-06-11T01:00,27.8,33.3,0.0,15.8
2025-06-11T02:00,28.0,32.9,0.0,24.5
2025-06-11T03:00,28.0,33.3,0.0,25.2
2025-06-11T04:00,28.0,33.3,0.0,19.8
2025-06-11T05:00,27.9,33.4,0.0,18.0
2025-06-11T06:00,28.1,34.4,0.0,13.0
2025-06-11T07:00,28.8,35.0,0.1,18.0
2025-06-11T08:00,29.4,34.8,0.5,26.6
2025-06-11T09:00,30.6,35.6,0.1,33.5
2025-06-11T10:00,31.2,36.6,0.0,35.6
2025-06-11T11:00,31.0,35.9,0.0,36.0
2025-06-11T12:00,31.6,37.5,0.0,38.9
2025-06-11T13:00,31.8,37.8,0.0,38.9
2025-06-11T14:00,31.5,37.2,0.0,39.6
2025-06-11T15:00,31.3,35.6,0.0,43.2
2025-06-11T16:00,30.9,34.9,0.0,43.9
2025-06-11T17:00,30.3,34.4,0.0,42.1
2025-06-11T18:00,30.4,35.8,0.1,37.8
2025-06-11T19:00,29.9,35.6,0.0,26.3
2025-06-11T20:00,29.7,35.9,0.0,23.4
2025-06-11T21:00,29.7,35.2,0.0,25.9
2025-06-11T22:00,29.6,35.0,0.0,26.3
2025-06-11T23:00,29.5,34.3,0.0,34.6
2025-06-12T00:00,29.3,34.4,0.0,34.6
2025-06-12T01:00,29.1,34.3,0.0,29.5
2025-06-12T02:00,29.0,34.1,0.0,29.9
2025-06-12T03:00,28.8,33.8,0.1,31.3
2025-06-12T04:00,29.0,33.8,0.1,34.2
2025-06-12T05:00,28.6,33.6,0.0,34.6
2025-06-12T06:00,29.1,34.7,0.6,28.8
2025-06-12T07:00,29.2,34.7,0.1,28.1
2025-06-12T08:00,29.4,34.1,0.2,40.3
2025-06-12T09:00,30.4,34.7,0.2,47.2
2025-06-12T10:00,31.2,35.3,0.4,55.8
2025-06-12T11:00,31.5,35.8,0.3,57.2
2025-06-12T12:00,31.2,35.9,0.2,57.2
2025-06-12T13:00,31.5,35.9,0.1,55.4
2025-06-12T14:00,31.2,35.4,0.0,55.8
2025-06-12T15:00,31.2,35.6,0.0,49.3
2025-06-12T16:00,30.6,34.9,0.1,43.2
2025-06-12T17:00,30.2,34.8,0.3,41.8
2025-06-12T18:00,30.4,36.1,0.0,34.9
2025-06-12T19:00,30.0,35.7,0.0,24.8
2025-06-12T20:00,30.0,35.6,0.0,24.1
2025-06-12T21:00,29.8,35.5,0.0,26.6
2025-06-12T22:00,29.5,35.4,0.0,28.1
2025-06-12T23:00,29.0,34.8,0.1,25.2
2025-06-13T00:00,29.0,34.8,0.2,28.1
2025-06-13T01:00,28.9,34.7,0.1,27.7
2025-06-13T02:00,28.8,34.8,0.1,26.6
2025-06-13T03:00,28.5,34.4,0.1,27.4
2025-06-13T04:00,28.2,33.9,0.1,27.0
2025-06-13T05:00,27.8,33.3,0.6,26.6
2025-06-13T06:00,27.0,33.1,0.9,15.5
2025-06-13T07:00,27.4,33.5,0.1,19.4
2025-06-13T08:00,28.0,33.9,0.2,25.2
2025-06-13T09:00,28.9,34.2,0.3,36.4
