city,timestamp,temperature_2m,apparent_temperature,precipitation,wind_gusts_10m,pm2_5,us_aqi,european_aqi
Pune,2023-01-01T00:00,18.0,18.1,0.0,10.1,65.9,152,87
Pune,2023-01-01T01:00,18.4,18.6,0.0,9.4,70.5,152,87
Pune,2023-01-01T02:00,18.4,19.0,0.0,6.5,76.6,151,86
Pune,2023-01-01T03:00,18.0,18.6,0.0,2.9,82.4,151,86
Pune,2023-01-01T04:00,16.0,16.5,0.0,5.0,86.6,151,86
Pune,2023-01-01T05:00,16.1,17.1,0.0,5.0,85.0,151,86
Pune,2023-01-01T06:00,14.1,14.4,0.0,5.8,89.2,151,86
Pune,2023-01-01T07:00,14.5,15.0,0.0,6.8,96.2,151,86
Pune,2023-01-01T08:00,17.9,18.5,0.0,10.4,103.6,151,86
Pune,2023-01-01T09:00,20.7,21.4,0.0,13.7,54.1,151,86
Pune,2023-01-01T10:00,23.7,24.2,0.0,15.5,32.5,151,86
Pune,2023-01-01T11:00,26.2,27.1,0.0,15.8,29.4,151,86
Pune,2023-01-01T12:00,27.9,29.2,0.0,15.1,29.0,151,86
Pune,2023-01-01T13:00,29.0,29.9,0.0,16.6,29.4,151,86
Pune,2023-01-01T14:00,29.7,29.8,0.0,17.6,29.3,151,86
Pune,2023-01-01T15:00,29.9,28.8,0.0,18.0,28.8,151,85
Pune,2023-01-01T16:00,29.4,27.8,0.0,18.7,28.4,151,85
Pune,2023-01-01T17:00,27.3,25.9,0.0,19.1,31.0,150,85
Pune,2023-01-01T18:00,24.3,22.4,0.0,15.8,41.8,150,85
Pune,2023-01-01T19:00,22.2,20.5,0.0,16.6,48.0,150,85
Pune,2023-01-01T20:00,19.8,18.4,0.0,12.2,54.2,150,85
Pune,2023-01-01T21:00,19.4,18.3,0.0,10.8,61.0,151,85
Pune,2023-01-01T22:00,18.2,17.3,0.0,8.6,68.0,151,86
Pune,2023-01-01T23:00,18.6,17.8,0.0,7.6,74.3,151,86
Pune,2023-01-02T00:00,19.4,18.7,0.0,6.8,75.2,151,87
Pune,2023-01-02T01:00,19.0,18.0,0.0,7.2,67.1,152,87
Pune,2023-01-02T02:00,18.6,17.9,0.0,7.2,55.1,152,87
Pune,2023-01-02T03:00,18.2,17.4,0.0,5.0,46.3,151,86
Pune,2023-01-02T04:00,17.5,16.8,0.0,5.0,41.3,150,85
Pune,2023-01-02T05:00,15.8,15.5,0.0,4.3,44.8,146,83
Pune,2023-01-02T06:00,14.5,14.2,0.0,2.9,44.4,142,82
Pune,2023-01-02T07:00,15.9,15.8,0.0,3.6,45.9,138,80
Pune,2023-01-02T08:00,17.2,17.0,0.0,9.0,48.2,132,79
Pune,2023-01-02T09:00,19.9,19.7,0.0,14.4,39.7,127,77
Pune,2023-01-02T10:00,22.8,22.7,0.0,19.1,37.6,125,76
Pune,2023-01-02T11:00,25.5,26.3,0.0,21.2,38.2,126,77
Pune,2023-01-02T12:00,27.6,29.1,0.0,21.6,40.9,127,77
Pune,2023-01-02T13:00,28.9,30.6,0.0,20.9,40.5,128,77
Pune,2023-01-02T14:00,29.6,30.6,0.0,17.3,39.0,129,78
Pune,2023-01-02T15:00,29.8,29.2,0.0,19.4,36.1,130,78
Pune,2023-01-02T16:00,29.2,27.9,0.0,20.2,35.4,131,78
Pune,2023-01-02T17:00,27.5,26.8,0.0,19.1,38.2,131,78
Pune,2023-01-02T18:00,26.5,25.1,0.0,11.2,49.0,132,79
Pune,2023-01-02T19:00,24.8,23.9,0.0,7.9,55.1,133,79
Pune,2023-01-02T20:00,24.5,24.2,0.0,6.8,62.9,134,79
Pune,2023-01-02T21:00,20.5,19.5,0.0,10.4,71.7,135,79
Pune,2023-01-02T22:00,19.1,18.2,0.0,10.4,78.5,136,80
Pune,2023-01-02T23:00,19.4,18.6,0.0,8.6,83.1,137,80
Pune,2023-01-03T00:00,21.4,20.1,0.0,6.1,85.7,138,80
Pune,2023-01-03T01:00,18.4,17.1,0.0,7.9,85.0,139,81
Pune,2023-01-03T02:00,18.8,17.9,0.0,7.9,80.3,141,81
Pune,2023-01-03T03:00,17.7,16.8,0.0,4.0,71.5,143,82
Pune,2023-01-03T04:00,18.0,17.3,0.0,3.6,61.2,146,83
Pune,2023-01-03T05:00,17.2,16.9,0.0,2.5,49.4,148,84
Pune,2023-01-03T06:00,17.0,16.6,0.0,4.0,49.2,148,84
Pune,2023-01-03T07:00,16.8,16.5,0.0,4.0,50.9,149,84
Pune,2023-01-03T08:00,18.0,18.3,0.0,6.5,51.9,150,84
Pune,2023-01-03T09:00,20.8,21.1,0.0,13.7,46.7,150,84
Pune,2023-01-03T10:00,23.5,23.9,0.0,17.6,51.0,150,85
Pune,2023-01-03T11:00,26.0,27.5,0.0,18.7,53.6,150,85
Pune,2023-01-03T12:00,28.0,30.3,0.0,18.4,53.6,151,86
Pune,2023-01-03T13:00,29.3,31.1,0.0,16.2,51.2,151,86
Pune,2023-01-03T14:00,29.9,30.1,0.0,18.4,48.2,151,86
Pune,2023-01-03T15:00,29.6,28.7,0.0,19.8,45.2,151,87
Pune,2023-01-03T16:00,29.2,28.4,0.0,19.1,43.7,152,87
Pune,2023-01-03T17:00,27.9,28.3,0.0,14.4,49.8,152,87
Pune,2023-01-03T18:00,25.7,25.3,0.0,9.0,59.0,152,88
Pune,2023-01-03T19:00,25.0,23.6,0.0,22.0,66.4,152,88
Pune,2023-01-03T20:00,23.2,23.2,0.0,22.7,68.2,153,88
Pune,2023-01-03T21:00,21.6,22.0,0.0,14.8,63.3,153,88
Pune,2023-01-03T22:00,21.0,21.4,0.0,13.0,62.9,153,88
Pune,2023-01-03T23:00,20.0,20.7,0.0,13.3,67.1,152,88
Pune,2023-01-04T00:00,19.2,19.9,0.0,11.2,68.7,152,87
Pune,2023-01-04T01:00,18.0,18.6,0.0,8.3,69.2,151,87
Pune,2023-01-04T02:00,17.7,18.4,0.0,8.6,68.5,151,86
Pune,2023-01-04T03:00,17.0,17.3,0.0,9.4,63.6,151,86
Pune,2023-01-04T04:00,18.0,18.2,0.0,7.9,58.3,151,85
Pune,2023-01-04T05:00,15.9,16.0,0.0,7.2,56.6,151,85
Pune,2023-01-04T06:00,15.3,15.3,0.0,9.0,58.1,151,86
Pune,2023-01-04T07:00,15.7,16.0,0.0,9.0,61.7,151,86
Pune,2023-01-04T08:00,18.2,19.0,0.0,8.6,64.7,151,86
Pune,2023-01-04T09:00,20.4,21.0,0.0,15.1,57.6,151,87
Pune,2023-01-04T10:00,23.0,23.5,0.0,20.2,59.0,152,87
Pune,2023-01-04T11:00,25.5,26.3,0.0,22.0,58.7,152,87
Pune,2023-01-04T12:00,27.4,28.6,0.0,23.0,56.2,152,87
Pune,2023-01-04T13:00,28.9,30.7,0.0,21.6,53.2,152,88
Pune,2023-01-04T14:00,29.4,30.1,0.0,16.2,51.0,152,88
Pune,2023-01-04T15:00,29.4,29.0,0.0,18.4,50.1,152,88
Pune,2023-01-04T16:00,28.9,28.8,0.0,17.3,49.1,152,88
Pune,2023-01-04T17:00,27.2,27.1,0.0,10.4,50.8,152,88
Pune,2023-01-04T18:00,24.5,24.9,0.0,10.8,59.8,152,88
Pune,2023-01-04T19:00,24.2,24.6,0.0,8.3,66.6,152,88
Pune,2023-01-04T20:00,24.4,24.4,0.0,15.8,72.6,152,88
Pune,2023-01-04T21:00,22.2,22.7,0.0,16.2,77.3,153,88
Pune,2023-01-04T22:00,21.1,21.6,0.0,14.0,80.6,153,89
Pune,2023-01-04T23:00,20.1,21.1,0.0,13.3,85.0,153,89
Pune,2023-01-05T00:00,19.8,20.6,0.0,7.9,87.3,154,90
Pune,2023-01-05T01:00,18.5,19.1,0.0,9.0,82.9,154,91
Pune,2023-01-05T02:00,18.5,19.5,0.0,9.0,79.9,154,91
Pune,2023-01-05T03:00,18.2,19.3,0.0,7.9,79.6,155,91
Pune,2023-01-05T04:00,17.5,18.5,0.0,7.9,81.7,155,92
Pune,2023-01-05T05:00,17.6,18.6,0.0,9.4,83.1,155,93
Pune,2023-01-05T06:00,16.4,17.0,0.0,9.4,84.8,156,94
Pune,2023-01-05T07:00,16.7,17.7,0.0,10.1,84.5,157,94
Pune,2023-01-05T08:00,19.5,20.7,0.0,14.0,83.4,157,95
Pune,2023-01-05T09:00,22.1,22.7,0.0,23.4,76.4,158,96
Pune,2023-01-05T10:00,24.8,24.9,0.0,27.7,57.7,158,96
Pune,2023-01-05T11:00,27.0,27.0,0.0,29.9,40.0,158,96
Pune,2023-01-05T12:00,28.1,28.5,0.0,29.5,32.6,157,96
Pune,2023-01-05T13:00,28.8,29.0,0.0,28.1,31.8,157,95
Pune,2023-01-05T14:00,29.2,28.9,0.0,25.2,32.0,157,94
Pune,2023-01-05T15:00,29.0,28.3,0.0,23.8,31.8,156,94
Pune,2023-01-05T16:00,28.5,28.1,0.0,20.2,32.0,156,93
Pune,2023-01-05T17:00,27.2,27.0,0.0,13.3,45.5,155,92
Pune,2023-01-05T18:00,24.9,24.1,0.0,14.8,48.3,155,92
Pune,2023-01-05T19:00,24.1,23.9,0.0,17.6,49.5,155,92
Pune,2023-01-05T20:00,23.2,23.5,0.0,13.7,50.2,155,91
Pune,2023-01-05T21:00,21.6,21.8,0.0,10.8,50.8,154,91
Pune,2023-01-05T22:00,21.3,21.4,0.0,13.0,50.6,153,90
Pune,2023-01-05T23:00,20.5,20.8,0.0,12.6,49.5,153,89
Pune,2023-01-06T00:00,20.0,20.4,0.0,9.7,47.6,152,88
Pune,2023-01-06T01:00,19.5,20.2,0.0,9.4,47.5,151,86
Pune,2023-01-06T02:00,18.9,19.4,0.0,9.4,50.5,150,85
Pune,2023-01-06T03:00,19.2,19.7,0.0,11.2,54.9,149,84
Pune,2023-01-06T04:00,18.5,19.2,0.0,11.9,58.8,146,83
Pune,2023-01-06T05:00,17.2,17.9,0.0,11.2,55.4,144,82
Pune,2023-01-06T06:00,17.2,18.2,0.0,9.0,55.5,141,82
Pune,2023-01-06T07:00,17.6,18.4,0.0,11.9,53.6,138,81
Pune,2023-01-06T08:00,20.0,20.8,0.0,17.6,50.9,135,80
Pune,2023-01-06T09:00,22.2,22.6,0.0,25.9,41.7,131,78
Pune,2023-01-06T10:00,24.8,24.1,0.0,36.0,32.2,128,77
Pune,2023-01-06T11:00,26.0,25.3,0.0,36.0,28.3,125,76
Pune,2023-01-06T12:00,27.0,26.3,0.0,34.9,26.7,124,76
Pune,2023-01-06T13:00,27.8,27.3,0.0,32.4,25.3,123,76
Pune,2023-01-06T14:00,28.4,28.1,0.0,28.4,24.0,123,76
Pune,2023-01-06T15:00,28.5,27.6,0.0,25.9,22.8,122,75
Pune,2023-01-06T16:00,28.2,27.1,0.0,24.8,21.9,121,75
Pune,2023-01-06T17:00,26.9,26.3,0.0,24.8,38.0,120,75
Pune,2023-01-06T18:00,24.4,24.3,0.0,16.6,39.8,119,74
Pune,2023-01-06T19:00,23.2,22.8,0.0,17.3,41.0,118,74
Pune,2023-01-06T20:00,22.5,22.2,0.0,17.3,41.4,117,74
Pune,2023-01-06T21:00,21.5,21.5,0.0,15.1,41.2,116,74
Pune,2023-01-06T22:00,21.0,21.0,0.0,14.0,42.1,115,73
Pune,2023-01-06T23:00,20.7,20.8,0.0,15.5,47.0,114,73
Pune,2023-01-07T00:00,20.2,20.6,0.0,16.2,56.6,114,73
Pune,2023-01-07T01:00,19.4,20.0,0.0,16.2,67.1,115,73
Pune,2023-01-07T02:00,18.9,19.8,0.0,15.1,74.5,117,74
Pune,2023-01-07T03:00,18.4,19.6,0.0,13.0,78.7,120,75
Pune,2023-01-07T04:00,18.1,19.3,0.0,10.4,81.0,122,75
Pune,2023-01-07T05:00,17.5,18.6,0.0,11.9,82.9,124,76
Pune,2023-01-07T06:00,17.4,18.5,0.0,13.7,86.1,127,77
Pune,2023-01-07T07:00,17.4,18.6,0.0,14.0,88.7,130,78
Pune,2023-01-07T08:00,19.5,20.9,0.0,15.1,92.4,134,79
Pune,2023-01-07T09:00,21.8,22.7,0.0,22.3,99.0,138,81
Pune,2023-01-07T10:00,24.2,24.1,0.0,33.5,102.2,144,83
Pune,2023-01-07T11:00,25.5,25.3,0.0,34.2,100.1,150,85
Pune,2023-01-07T12:00,26.9,27.2,0.0,32.0,87.1,152,87
Pune,2023-01-07T13:00,27.5,27.9,0.0,31.3,82.2,153,89
Pune,2023-01-07T14:00,27.8,27.6,0.0,30.2,81.5,155,91
Pune,2023-01-07T15:00,27.8,26.9,0.0,27.4,80.3,156,93
Pune,2023-01-07T16:00,27.0,26.0,0.0,27.0,80.3,157,95
Pune,2023-01-07T17:00,25.6,25.3,0.0,26.3,93.8,158,97
Pune,2023-01-07T18:00,24.4,24.8,0.0,18.0,95.0,160,99
Pune,2023-01-07T19:00,22.5,22.9,0.0,9.4,95.5,161,101
Pune,2023-01-07T20:00,21.1,21.5,0.0,10.1,95.7,162,103
Pune,2023-01-07T21:00,21.2,21.7,0.0,9.7,94.3,163,104
Pune,2023-01-07T22:00,19.5,19.7,0.0,10.4,91.5,164,106
Pune,2023-01-07T23:00,19.1,19.3,0.0,11.2,88.0,165,108
Pune,2023-01-08T00:00,18.8,19.1,0.0,10.4,84.5,166,109
Pune,2023-01-08T01:00,18.0,18.3,0.0,9.7,81.3,167,110
Pune,2023-01-08T02:00,17.6,17.8,0.0,10.8,78.2,167,111
Pune,2023-01-08T03:00,16.9,17.2,0.0,10.8,75.7,167,111
Pune,2023-01-08T04:00,16.0,16.3,0.0,9.0,73.3,167,111
Pune,2023-01-08T05:00,17.3,18.0,0.0,9.7,75.9,167,110
Pune,2023-01-08T06:00,17.0,17.7,0.0,5.0,75.4,167,110
Pune,2023-01-08T07:00,16.4,17.2,0.0,4.3,74.7,167,110
Pune,2023-01-08T08:00,17.6,18.8,0.0,7.6,73.8,166,109
Pune,2023-01-08T09:00,20.4,20.9,0.0,15.8,63.8,166,109
Pune,2023-01-08T10:00,22.8,22.7,0.0,22.3,54.7,165,107
Pune,2023-01-08T11:00,24.7,24.8,0.0,25.6,51.8,164,106
Pune,2023-01-08T12:00,26.0,26.6,0.0,25.9,52.4,163,104
Pune,2023-01-08T13:00,26.7,27.3,0.0,24.5,53.6,162,103
Pune,2023-01-08T14:00,27.0,27.1,0.0,23.0,52.5,162,102
Pune,2023-01-08T15:00,27.1,26.3,0.0,22.7,49.6,161,101
Pune,2023-01-08T16:00,26.9,25.6,0.0,22.3,46.6,160,100
Pune,2023-01-08T17:00,25.9,24.3,0.0,22.0,48.2,160,99
Pune,2023-01-08T18:00,23.7,22.2,0.0,18.7,50.8,159,98
Pune,2023-01-08T19:00,22.2,20.9,0.0,15.8,51.3,158,96
Pune,2023-01-08T20:00,21.0,19.2,0.0,13.0,48.5,157,95
Pune,2023-01-08T21:00,20.1,18.2,0.0,14.4,43.7,156,93
Pune,2023-01-08T22:00,19.4,17.4,0.0,17.3,37.6,155,91
Pune,2023-01-08T23:00,18.4,16.7,0.0,15.8,32.2,153,90
Pune,2023-01-09T00:00,17.8,16.0,0.0,11.9,28.8,152,88
Pune,2023-01-09T01:00,16.0,14.0,0.0,11.9,27.1,151,86
Pune,2023-01-09T02:00,15.6,13.6,0.0,11.9,27.1,149,84
Pune,2023-01-09T03:00,16.2,14.4,0.0,10.1,27.7,143,82
Pune,2023-01-09T04:00,16.2,14.6,0.0,8.3,28.5,138,81
Pune,2023-01-09T05:00,15.4,14.2,0.0,5.8,32.4,134,79
Pune,2023-01-09T06:00,15.0,13.7,0.0,3.6,34.5,129,78
Pune,2023-01-09T07:00,14.9,13.6,0.0,3.6,37.8,125,76
Pune,2023-01-09T08:00,15.7,14.6,0.0,7.9,41.2,121,75
Pune,2023-01-09T09:00,18.4,17.2,0.0,13.7,34.9,118,74
Pune,2023-01-09T10:00,21.3,19.6,0.0,20.2,32.6,115,73
Pune,2023-01-09T11:00,23.8,22.6,0.0,24.5,31.5,112,72
Pune,2023-01-09T12:00,25.7,24.8,0.0,25.6,30.7,110,72
Pune,2023-01-09T13:00,26.7,26.0,0.0,25.2,31.2,108,71
Pune,2023-01-09T14:00,27.1,26.1,0.0,23.4,31.3,106,70
Pune,2023-01-09T15:00,27.2,25.3,0.0,22.0,31.2,104,70
Pune,2023-01-09T16:00,26.8,24.3,0.0,21.2,30.5,102,69
Pune,2023-01-09T17:00,25.9,23.4,0.0,20.5,34.0,100,68
Pune,2023-01-09T18:00,22.5,20.0,0.0,14.8,42.7,99,68
Pune,2023-01-09T19:00,21.5,19.0,0.0,13.7,46.7,98,68
Pune,2023-01-09T20:00,20.2,17.9,0.0,13.0,47.6,98,67
Pune,2023-01-09T21:00,19.2,16.7,0.0,11.9,47.4,97,67
